,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
7677,Camberwell,Crellin,2,h,1900000.0,S,Noel,2017,7.8,3124.0,2.0,1.0,3.0,633.0,134.3,1960.0,Boroondara,-37.8427,145.0824,Southern Metropolitan,8920.0
7678,Camberwell,Hunter,3,h,1620000.0,S,Jellis,2017,7.8,3124.0,3.0,2.0,2.0,575.0,155.0,2000.0,Boroondara,-37.8378,145.0909,Southern Metropolitan,8920.0
7679,Camberwell,Kingsley,4,h,3550000.0,S,Marshall,2017,7.8,3124.0,4.0,2.0,1.0,790.0,251.0,1890.0,Boroondara,-37.8269,145.0661,Southern Metropolitan,8920.0
7683,Camberwell,Avenue,3,h,1905000.0,S,Marshall,2017,7.8,3124.0,3.0,1.0,2.0,400.0,145.0,1890.0,Boroondara,-37.8333,145.0616,Southern Metropolitan,8920.0
7685,Camberwell,Moorhouse,4,h,2990000.0,S,Marshall,2017,7.8,3124.0,4.0,2.0,2.0,742.0,280.0,1997.0,Boroondara,-37.8284,145.0673,Southern Metropolitan,8920.0
7688,Camberwell,Dower,3,u,835000.0,S,Marshall,2017,7.8,3124.0,3.0,1.0,1.0,112.0,85.0,1960.0,Boroondara,-37.8378,145.0949,Southern Metropolitan,8920.0
7692,Canterbury,Mangarra,5,h,8000000.0,VB,Sotheby's,2017,9.0,3126.0,5.0,5.0,4.0,2079.0,464.3,1880.0,Boroondara,-37.8179,145.0694,Southern Metropolitan,3265.0
7695,Carlton North,Amess,4,h,3450000.0,S,Nelson,2017,3.2,3054.0,4.0,2.0,1.0,515.0,203.0,1905.0,Yarra,-37.7817,144.9742,Northern Metropolitan,3106.0
7703,Carnegie,Woornack,2,u,635000.0,S,Noel,2017,11.4,3163.0,2.0,1.0,1.0,0.0,73.0,1980.0,Glen Eira,-37.8981,145.0619,Southern Metropolitan,7822.0
7706,Carnegie,Poplar,1,u,305000.0,S,Woodards,2017,11.4,3163.0,1.0,1.0,1.0,0.0,46.0,1960.0,Glen Eira,-37.8858,145.0632,Southern Metropolitan,7822.0
7708,Carnegie,Truganini,3,h,1200000.0,PI,hockingstuart,2017,11.4,3163.0,3.0,2.0,2.0,515.0,156.0,1930.0,Glen Eira,-37.8924,145.0541,Southern Metropolitan,7822.0
7709,Carnegie,Coorigil,3,u,945000.0,S,hockingstuart,2017,11.4,3163.0,3.0,1.0,2.0,1103.0,100.0,1987.0,Glen Eira,-37.8958,145.0603,Southern Metropolitan,7822.0
7712,Carnegie,Railway,4,h,1667000.0,S,Ray,2017,11.4,3163.0,4.0,2.0,2.0,615.0,193.0,1920.0,Glen Eira,-37.8928,145.0531,Southern Metropolitan,7822.0
7713,Carnegie,Gnarwyn,1,u,330000.0,S,Ray,2017,11.4,3163.0,1.0,1.0,1.0,0.0,46.0,1960.0,Glen Eira,-37.8944,145.0616,Southern Metropolitan,7822.0
7714,Carnegie,Kokaribb,3,u,577000.0,S,hockingstuart,2017,11.4,3163.0,3.0,1.0,1.0,0.0,84.0,1965.0,Glen Eira,-37.8866,145.0561,Southern Metropolitan,7822.0
7716,Caulfield North,Narong,1,u,305000.0,SP,Gary,2017,8.1,3161.0,1.0,1.0,1.0,750.0,43.0,1965.0,Glen Eira,-37.8678,145.0197,Southern Metropolitan,6923.0
7722,Caulfield North,Dandenong,2,u,742500.0,S,Gary,2017,8.1,3161.0,2.0,2.0,1.0,0.0,85.0,2011.0,Glen Eira,-37.8607,145.0116,Southern Metropolitan,6923.0
7725,Caulfield South,Kooyong,2,u,630000.0,S,Biggin,2017,9.3,3162.0,2.0,1.0,1.0,0.0,71.0,2003.0,Glen Eira,-37.8937,145.0137,Southern Metropolitan,5051.0
7726,Caulfield South,Sycamore,3,h,1350000.0,S,Biggin,2017,9.3,3162.0,3.0,2.0,1.0,305.0,129.0,1925.0,Glen Eira,-37.8899,145.023,Southern Metropolitan,5051.0
7728,Caulfield South,Sycamore,2,u,490000.0,S,hockingstuart,2017,9.3,3162.0,2.0,1.0,1.0,0.0,61.0,1960.0,Glen Eira,-37.8906,145.0259,Southern Metropolitan,5051.0
7729,Chadstone,Kelly,3,u,701000.0,PI,Ray,2017,13.6,3148.0,3.0,2.0,2.0,235.0,112.0,2000.0,Monash,-37.8856,145.0934,Southern Metropolitan,3582.0
7730,Chadstone,Atkinson,3,t,905000.0,S,Buxton,2017,13.6,3148.0,3.0,1.0,2.0,418.0,132.0,1955.0,Monash,-37.886,145.096,Southern Metropolitan,3582.0
7731,Chadstone,Batesford,3,u,988000.0,SA,Buxton,2017,13.6,3148.0,3.0,2.0,2.0,286.0,124.0,2008.0,Monash,-37.8755,145.0954,Southern Metropolitan,3582.0
7732,Chadstone,Westbrook,3,t,820000.0,VB,hockingstuart,2017,13.6,3148.0,3.0,2.0,2.0,213.0,115.0,2012.0,Monash,-37.8827,145.0942,Southern Metropolitan,3582.0
7734,Clifton Hill,Grant,3,h,1500000.0,S,Nelson,2017,3.4,3068.0,3.0,1.0,1.0,230.0,127.0,1900.0,Yarra,-37.788,144.9967,Northern Metropolitan,2954.0
7735,Clifton Hill,The,2,u,641000.0,S,Jellis,2017,3.4,3068.0,2.0,1.0,1.0,72.0,90.0,1980.0,Yarra,-37.7881,145.0058,Northern Metropolitan,2954.0
7736,Clifton Hill,Dally,2,h,1250000.0,S,Jellis,2017,3.4,3068.0,2.0,1.0,0.0,158.0,95.0,1890.0,Yarra,-37.7925,144.9995,Northern Metropolitan,2954.0
7737,Clifton Hill,Hoddle,3,h,1652500.0,S,Nelson,2017,3.4,3068.0,3.0,1.0,0.0,276.0,170.0,1904.0,Yarra,-37.7933,144.9938,Northern Metropolitan,2954.0
7740,Clifton Hill,The,1,u,465000.0,S,Haughton,2017,3.4,3068.0,1.0,1.0,1.0,0.0,45.0,1970.0,Yarra,-37.7881,145.0058,Northern Metropolitan,2954.0
7745,Coburg,Rennie,2,u,495000.0,S,Barry,2017,7.8,3058.0,2.0,1.0,0.0,388.0,69.0,1960.0,Moreland,-37.7506,144.9694,Northern Metropolitan,11204.0
7746,Coburg,Victoria,2,h,930000.0,S,Raine,2017,7.8,3058.0,2.0,1.0,0.0,275.0,106.2,1920.0,Moreland,-37.7424,144.9576,Northern Metropolitan,11204.0
7747,Coburg,Kendall,2,t,781000.0,S,hockingstuart,2017,7.8,3058.0,2.0,1.0,1.0,0.0,112.9,2014.0,Moreland,-37.7422,144.9604,Northern Metropolitan,11204.0
7749,Coburg,Queen,2,h,677776.0,SP,Jellis,2017,7.8,3058.0,2.0,1.0,2.0,0.0,64.0,1980.0,Moreland,-37.7519,144.9496,Northern Metropolitan,11204.0
7751,Coburg,Beaumonde,4,t,680000.0,S,Collins,2017,7.8,3058.0,4.0,2.0,1.0,3747.0,143.0,2006.0,Moreland,-37.7551,144.9787,Northern Metropolitan,11204.0
7754,Coburg,Harding,3,t,824000.0,S,Barry,2017,7.8,3058.0,3.0,1.0,2.0,120.0,113.76,1990.0,Moreland,-37.7462,144.9795,Northern Metropolitan,11204.0
7759,Coburg,Gordon,4,h,1500000.0,VB,Nelson,2017,7.8,3058.0,4.0,2.0,1.0,453.0,187.0,1910.0,Moreland,-37.7503,144.9481,Northern Metropolitan,11204.0
7761,Coburg,Reynard,4,h,1005000.0,S,Nelson,2017,7.8,3058.0,4.0,2.0,1.0,172.0,135.0,1900.0,Moreland,-37.7483,144.9634,Northern Metropolitan,11204.0
7762,Coburg,Spring,4,h,901000.0,SP,Ray,2017,7.8,3058.0,4.0,2.0,1.0,398.0,123.0,1950.0,Moreland,-37.7364,144.9787,Northern Metropolitan,11204.0
7763,Coburg,Alice,3,h,990000.0,S,Barry,2017,7.8,3058.0,3.0,1.0,3.0,414.0,153.1,1930.0,Moreland,-37.7432,144.9573,Northern Metropolitan,11204.0
7764,Coburg,Balloan,6,h,1455000.0,S,Brad,2017,7.8,3058.0,6.0,3.0,4.0,768.0,285.0,1997.0,Moreland,-37.7397,144.9603,Northern Metropolitan,11204.0
7765,Coburg,Beckwith,3,h,1250000.0,S,Nelson,2017,7.8,3058.0,3.0,2.0,2.0,500.0,148.0,1900.0,Moreland,-37.7382,144.9653,Northern Metropolitan,11204.0
7767,Coburg,Florence,5,h,1790000.0,S,Jellis,2017,7.8,3058.0,5.0,3.0,2.0,635.0,108.0,1920.0,Moreland,-37.7516,144.9593,Northern Metropolitan,11204.0
7768,Coburg,Gladstone,2,u,650000.0,S,Barry,2017,7.8,3058.0,2.0,1.0,1.0,136.0,81.0,1975.0,Moreland,-37.7449,144.9754,Northern Metropolitan,11204.0
7769,Coburg,Victoria,3,t,720000.0,PI,C21,2017,7.8,3058.0,3.0,2.0,2.0,531.0,112.0,2016.0,Moreland,-37.7424,144.9571,Northern Metropolitan,11204.0
7770,Coburg,Victoria,3,t,720000.0,PI,Century,2017,7.8,3058.0,3.0,2.0,2.0,531.0,112.0,2016.0,Moreland,-37.7424,144.9571,Northern Metropolitan,11204.0
7776,Collingwood,Easey,2,u,535000.0,S,Nelson,2017,1.6,3066.0,2.0,1.0,1.0,0.0,63.0,1970.0,Yarra,-37.7981,144.9883,Northern Metropolitan,4553.0
7778,Collingwood,Oxford,2,t,945000.0,S,Jellis,2017,1.6,3066.0,2.0,1.0,1.0,15900.0,98.0,1880.0,Yarra,-37.8035,144.985,Northern Metropolitan,4553.0
7782,Collingwood,Palmer,2,h,888000.0,S,Ray,2017,1.6,3066.0,2.0,1.0,0.0,112.0,100.0,1900.0,Yarra,-37.8001,144.9901,Northern Metropolitan,4553.0
7783,Collingwood,Islington,3,u,1000000.0,SP,Caine,2017,1.6,3066.0,3.0,2.0,2.0,0.0,148.0,2005.0,Yarra,-37.8083,144.9908,Northern Metropolitan,4553.0
7784,Cremorne,Balmain,3,h,1350000.0,S,Biggin,2017,2.5,3121.0,3.0,1.0,1.0,117.0,147.0,1900.0,Yarra,-37.8298,144.9923,Northern Metropolitan,1123.0
7787,Doncaster,Ella,4,h,1300000.0,PI,Ray,2017,13.9,3108.0,4.0,2.0,2.0,872.0,185.0,1970.0,Manningham,-37.7906,145.1138,Eastern Metropolitan,9028.0
7788,Doncaster,Harcourt,4,h,1400000.0,PI,Barry,2017,13.9,3108.0,4.0,2.0,2.0,664.0,150.0,1980.0,Manningham,-37.7895,145.1116,Eastern Metropolitan,9028.0
7790,Doncaster,Wetherby,4,h,1100000.0,PI,Barry,2017,13.9,3108.0,4.0,3.0,2.0,661.0,170.0,1965.0,Manningham,-37.7905,145.1433,Eastern Metropolitan,9028.0
7794,Doncaster,Arthur,3,h,1355000.0,S,Barry,2017,13.9,3108.0,3.0,1.0,1.0,814.0,120.0,1965.0,Manningham,-37.7909,145.1309,Eastern Metropolitan,9028.0
7808,Essendon,Crisp,5,h,1652000.0,S,Brad,2017,8.0,3040.0,5.0,2.0,1.0,697.0,196.0,1920.0,Moonee Valley,-37.7459,144.9159,Western Metropolitan,9264.0
7809,Essendon,Fitzgerald,3,h,1131000.0,S,Frank,2017,8.0,3040.0,3.0,1.0,1.0,387.0,135.0,1900.0,Moonee Valley,-37.755,144.9272,Western Metropolitan,9264.0
7812,Essendon,Glass,1,u,310000.0,SP,Brad,2017,8.0,3040.0,1.0,1.0,1.0,845.0,45.0,1977.0,Moonee Valley,-37.7469,144.9206,Western Metropolitan,9264.0
7819,Essendon,Deakin,3,u,700000.0,S,Nelson,2017,8.0,3040.0,3.0,1.0,1.0,227.0,120.0,2005.0,Moonee Valley,-37.7496,144.892,Western Metropolitan,9264.0
7821,Essendon,Nimmo,2,u,610000.0,PI,Jellis,2017,8.0,3040.0,2.0,1.0,1.0,0.0,75.0,2012.0,Moonee Valley,-37.7504,144.8957,Western Metropolitan,9264.0
7822,Essendon,Roberts,3,h,960000.0,PI,Barry,2017,8.0,3040.0,3.0,2.0,1.0,411.0,159.0,1990.0,Moonee Valley,-37.7544,144.8986,Western Metropolitan,9264.0
7824,Essendon,Stanley,1,u,426500.0,S,Brad,2017,8.0,3040.0,1.0,1.0,1.0,62.0,53.0,1960.0,Moonee Valley,-37.7578,144.9134,Western Metropolitan,9264.0
7825,Fairfield,Heidelberg,2,u,676000.0,S,Jellis,2017,5.8,3078.0,2.0,1.0,1.0,0.0,87.0,2002.0,Yarra,-37.7847,145.0109,Northern Metropolitan,2970.0
7826,Fairfield,Gillies,3,h,1500000.0,PI,Woodards,2017,5.8,3078.0,3.0,1.0,2.0,574.0,150.0,1925.0,Darebin,-37.783,145.0165,Northern Metropolitan,2970.0
7828,Fawkner,Brian,3,h,660000.0,S,Brad,2017,12.4,3060.0,3.0,1.0,2.0,585.0,88.0,1960.0,Moreland,-37.695,144.9676,Northern Metropolitan,5070.0
7829,Fawkner,Jennifer,3,h,741000.0,S,Peter,2017,12.4,3060.0,3.0,1.0,3.0,578.0,128.0,1960.0,Moreland,-37.6966,144.9695,Northern Metropolitan,5070.0
7831,Fawkner,Murray,3,u,532000.0,S,Ray,2017,12.4,3060.0,3.0,2.0,1.0,207.0,205.0,2007.0,Moreland,-37.7049,144.9631,Northern Metropolitan,5070.0
7835,Fawkner,Hedley,3,h,1000000.0,PI,Ray,2017,12.4,3060.0,3.0,1.0,2.0,1069.0,120.0,1960.0,Moreland,-37.6931,144.9596,Northern Metropolitan,5070.0
7840,Fawkner,Major,2,u,328000.0,SP,Love,2017,12.4,3060.0,2.0,1.0,1.0,0.0,67.0,1970.0,Moreland,-37.7071,144.9644,Northern Metropolitan,5070.0
7841,Fawkner,McBryde,3,t,543500.0,S,Stockdale,2017,12.4,3060.0,3.0,3.0,3.0,247.0,103.0,2011.0,Moreland,-37.7133,144.975,Northern Metropolitan,5070.0
7843,Fitzroy North,Miller,1,u,330000.0,S,Nelson,2017,3.5,3068.0,1.0,1.0,1.0,0.0,32.0,1970.0,Yarra,-37.777,144.9836,Northern Metropolitan,6244.0
7844,Fitzroy North,Alexandra,2,h,846000.0,S,Harrington,2017,3.5,3068.0,2.0,1.0,0.0,160.0,119.0,1880.0,Yarra,-37.7933,144.9824,Northern Metropolitan,6244.0
7850,Fitzroy North,Barkly,2,h,1055000.0,S,Chambers,2017,3.5,3068.0,2.0,1.0,0.0,192.0,85.2,1910.0,Yarra,-37.7793,144.9879,Northern Metropolitan,6244.0
7853,Flemington,Dartford,3,h,1250000.0,S,McDonald,2017,4.4,3031.0,3.0,2.0,2.0,226.0,140.0,2002.0,Moonee Valley,-37.7824,144.9243,Northern Metropolitan,3593.0
7854,Flemington,Canterbury,2,h,953000.0,S,Biggin,2017,4.4,3031.0,2.0,1.0,0.0,274.0,103.0,1930.0,Moonee Valley,-37.7813,144.9238,Northern Metropolitan,3593.0
7855,Flemington,Racecourse,2,u,603000.0,S,Nelson,2017,4.4,3031.0,2.0,1.0,1.0,0.0,96.0,1890.0,Moonee Valley,-37.788,144.9306,Northern Metropolitan,3593.0
7856,Flemington,Victoria,3,h,940000.0,S,hockingstuart,2017,4.4,3031.0,3.0,1.0,1.0,320.0,110.0,1940.0,Moonee Valley,-37.7844,144.9359,Northern Metropolitan,3593.0
7857,Flemington,Bryant,5,h,1550000.0,PI,Nelson,2017,4.4,3031.0,5.0,1.0,1.0,432.0,200.0,1915.0,Moonee Valley,-37.7859,144.9323,Northern Metropolitan,3593.0
7858,Flemington,Dover,2,u,500000.0,S,Nelson,2017,4.4,3031.0,2.0,1.0,1.0,0.0,72.9,1970.0,Moonee Valley,-37.7829,144.9247,Northern Metropolitan,3593.0
7859,Flemington,Farnham,2,u,450000.0,S,Nelson,2017,4.4,3031.0,2.0,1.0,1.0,0.0,62.0,1970.0,Moonee Valley,-37.7826,144.9311,Northern Metropolitan,3593.0
7860,Flemington,Ascot,2,u,390000.0,VB,Nelson,2017,4.4,3031.0,2.0,1.0,1.0,472.0,55.0,1960.0,Moonee Valley,-37.7851,144.922,Northern Metropolitan,3593.0
7862,Flemington,John,3,h,1085000.0,SP,Nelson,2017,4.4,3031.0,3.0,1.0,1.0,180.0,132.0,1991.0,Moonee Valley,-37.7839,144.9273,Northern Metropolitan,3593.0
7863,Flemington,Princes,2,h,1060000.0,S,Nelson,2017,4.4,3031.0,2.0,1.0,0.0,209.0,75.0,1890.0,Moonee Valley,-37.7846,144.9347,Northern Metropolitan,3593.0
7864,Flemington,Princes,3,h,917000.0,S,Jellis,2017,4.4,3031.0,3.0,1.0,0.0,143.0,136.0,1890.0,Moonee Valley,-37.7868,144.9336,Northern Metropolitan,3593.0
7867,Footscray,MacPherson,2,h,885000.0,S,Jas,2017,6.4,3011.0,2.0,1.0,0.0,267.0,99.5,1890.0,Maribyrnong,-37.7961,144.89,Western Metropolitan,7570.0
7868,Footscray,Rosamond,2,t,485000.0,SP,Biggin,2017,6.4,3011.0,2.0,2.0,1.0,0.0,70.0,2011.0,Maribyrnong,-37.7883,144.884,Western Metropolitan,7570.0
7869,Footscray,Summerhill,3,t,760000.0,VB,Jas,2017,6.4,3011.0,3.0,1.0,1.0,219.0,3.0,2011.0,Maribyrnong,-37.796,144.8819,Western Metropolitan,7570.0
7872,Footscray,Shepherd,3,h,871000.0,S,Greg,2017,6.4,3011.0,3.0,1.0,1.0,267.0,101.0,1900.0,Maribyrnong,-37.7951,144.8901,Western Metropolitan,7570.0
7876,Footscray,MacPherson,2,h,882000.0,SP,Village,2017,6.4,3011.0,2.0,1.0,0.0,172.0,80.0,1900.0,Maribyrnong,-37.7936,144.8905,Western Metropolitan,7570.0
7877,Footscray,Moore,3,h,895000.0,PI,Burnham,2017,6.4,3011.0,3.0,1.0,2.0,272.0,106.0,1920.0,Maribyrnong,-37.7977,144.904,Western Metropolitan,7570.0
7878,Glen Huntly,Grange,1,u,260000.0,SP,Woodards,2017,10.4,3163.0,1.0,1.0,1.0,1162.0,44.0,1965.0,Glen Eira,-37.8911,145.0451,Southern Metropolitan,2403.0
7880,Glen Iris,Wills,3,h,1452000.0,SP,Jellis,2017,9.2,3146.0,3.0,2.0,2.0,269.0,184.0,1997.0,Stonnington,-37.854,145.0542,Southern Metropolitan,10412.0
7882,Glen Iris,Morell,3,h,1800000.0,SP,Jellis,2017,9.2,3146.0,3.0,1.0,3.0,732.0,138.0,1950.0,Boroondara,-37.8562,145.0864,Southern Metropolitan,10412.0
7883,Glen Iris,Scott,3,t,1253000.0,S,Abercromby's,2017,9.2,3146.0,3.0,2.0,2.0,0.0,131.0,1995.0,Stonnington,-37.8574,145.0494,Southern Metropolitan,10412.0
7886,Glen Iris,Rowen,4,h,1760000.0,PI,Jellis,2017,9.2,3146.0,4.0,3.0,3.0,622.0,160.0,1940.0,Boroondara,-37.858,145.0859,Southern Metropolitan,10412.0
7889,Glen Iris,Finch,3,h,3310000.0,S,Marshall,2017,9.2,3146.0,3.0,3.0,2.0,662.0,265.0,1988.0,Stonnington,-37.8605,145.0455,Southern Metropolitan,10412.0
7890,Glen Iris,Martin,3,h,1601000.0,S,Marshall,2017,9.2,3146.0,3.0,1.0,2.0,453.0,102.0,1930.0,Boroondara,-37.8487,145.0592,Southern Metropolitan,10412.0
7892,Glen Iris,Lithgow,2,u,910000.0,S,Fletchers,2017,9.2,3146.0,2.0,1.0,1.0,157.0,97.0,1970.0,Boroondara,-37.8499,145.0814,Southern Metropolitan,10412.0
7897,Glenroy,Meadowbank,3,h,780000.0,PI,Brad,2017,13.0,3046.0,3.0,1.0,2.0,742.0,101.0,1970.0,Moreland,-37.702,144.9538,Northern Metropolitan,8870.0
7898,Glenroy,Murrell,2,t,420000.0,VB,Brad,2017,13.0,3046.0,2.0,2.0,1.0,1137.0,82.0,2009.0,Moreland,-37.7045,144.9204,Northern Metropolitan,8870.0
7899,Glenroy,Wheatsheaf,3,h,895000.0,S,Barry,2017,13.0,3046.0,3.0,1.0,2.0,697.0,148.0,1955.0,Moreland,-37.7097,144.9256,Northern Metropolitan,8870.0
7900,Glenroy,Morley,3,h,885000.0,PI,Barry,2017,13.0,3046.0,3.0,1.0,2.0,751.0,145.0,1972.0,Moreland,-37.6962,144.9376,Northern Metropolitan,8870.0
7901,Glenroy,Bindi,3,h,597500.0,S,YPA,2017,13.0,3046.0,3.0,1.0,2.0,663.0,84.0,1950.0,Moreland,-37.6962,144.9349,Northern Metropolitan,8870.0
7903,Glenroy,Gowrie,3,h,822000.0,S,Barry,2017,13.0,3046.0,3.0,1.0,2.0,738.0,107.4,1960.0,Moreland,-37.6972,144.941,Northern Metropolitan,8870.0
7908,Glenroy,West,5,t,645000.0,S,Barry,2017,13.0,3046.0,5.0,1.0,1.0,227.0,152.0,2013.0,Moreland,-37.6979,144.941,Northern Metropolitan,8870.0
7909,Glenroy,York,3,t,595000.0,SP,Nelson,2017,13.0,3046.0,3.0,1.0,2.0,258.0,142.6,2001.0,Moreland,-37.7047,144.9087,Northern Metropolitan,8870.0
7911,Glenroy,Ila,4,h,1050000.0,VB,Nelson,2017,13.0,3046.0,4.0,3.0,2.0,715.0,271.0,1970.0,Moreland,-37.709,144.9373,Northern Metropolitan,8870.0
7913,Glenroy,Pecham,3,h,705000.0,S,Barry,2017,13.0,3046.0,3.0,1.0,2.0,694.0,110.0,1960.0,Moreland,-37.6974,144.9112,Northern Metropolitan,8870.0
7914,Glenroy,Harold,3,u,590000.0,S,YPA,2017,13.0,3046.0,3.0,2.0,2.0,0.0,118.0,2009.0,Moreland,-37.7074,144.9266,Northern Metropolitan,8870.0
7915,Glenroy,Newton,3,t,680000.0,SP,Stockdale,2017,13.0,3046.0,3.0,2.0,2.0,243.0,133.0,2014.0,Moreland,-37.7116,144.9357,Northern Metropolitan,8870.0
7916,Glenroy,Salisbury,3,h,935000.0,S,Stockdale,2017,13.0,3046.0,3.0,1.0,2.0,666.0,176.0,1960.0,Moreland,-37.7015,144.9191,Northern Metropolitan,8870.0
7919,Hadfield,Sutherland,3,h,740000.0,SP,Stockdale,2017,12.1,3046.0,3.0,1.0,4.0,605.0,145.0,1960.0,Moreland,-37.706,144.9467,Northern Metropolitan,2606.0
7927,Hampton,Willis,2,t,837000.0,SP,Buxton,2017,13.7,3188.0,2.0,2.0,1.0,516.0,92.0,2007.0,Bayside,-37.9365,145.0008,Southern Metropolitan,5454.0
7928,Hampton,Linacre,4,h,2500000.0,PI,RT,2017,13.7,3188.0,4.0,3.0,2.0,684.0,317.0,2008.0,Bayside,-37.9436,145.0169,Southern Metropolitan,5454.0
7931,Hampton,Grenville,2,u,860000.0,S,Buxton,2017,13.7,3188.0,2.0,1.0,1.0,90.0,90.0,1962.0,Bayside,-37.9354,144.9994,Southern Metropolitan,5454.0
7934,Hawthorn,Colvin,3,h,1700000.0,VB,Kay,2017,4.6,3122.0,3.0,1.0,2.0,338.0,132.0,1910.0,Boroondara,-37.8139,145.0243,Southern Metropolitan,11308.0
7935,Hawthorn,Liddiard,1,u,440000.0,S,Jellis,2017,4.6,3122.0,1.0,1.0,1.0,0.0,51.0,1960.0,Boroondara,-37.8194,145.0397,Southern Metropolitan,11308.0
7937,Hawthorn,Glenroy,1,u,535000.0,S,hockingstuart,2017,4.6,3122.0,1.0,1.0,1.0,918.0,50.0,2006.0,Boroondara,-37.8294,145.033,Southern Metropolitan,11308.0
7938,Hawthorn,Lisson,2,u,635000.0,S,Jellis,2017,4.6,3122.0,2.0,1.0,1.0,2679.0,78.0,1960.0,Boroondara,-37.8261,145.0269,Southern Metropolitan,11308.0
7939,Hawthorn,morang,1,u,317500.0,S,Noel,2017,4.6,3122.0,1.0,1.0,0.0,0.0,55.0,1957.0,Boroondara,-37.826,145.0239,Southern Metropolitan,11308.0
7941,Hawthorn,Power,1,u,360000.0,PI,Woodards,2017,4.6,3122.0,1.0,1.0,1.0,6494.0,77.5,1965.0,Boroondara,-37.8254,145.0255,Southern Metropolitan,11308.0
7943,Hawthorn,Smart,2,h,1800000.0,S,Jellis,2017,4.6,3122.0,2.0,1.0,0.0,221.0,106.0,1900.0,Boroondara,-37.8163,145.0251,Southern Metropolitan,11308.0
7944,Hawthorn,Summerlea,1,u,275000.0,SP,hockingstuart,2017,4.6,3122.0,1.0,1.0,0.0,479.0,30.0,1970.0,Boroondara,-37.8292,145.0322,Southern Metropolitan,11308.0
7946,Hawthorn,Church,3,h,1525000.0,VB,Jellis,2017,4.6,3122.0,3.0,1.0,0.0,269.0,134.0,1905.0,Boroondara,-37.8162,145.0206,Southern Metropolitan,11308.0
7951,Hawthorn,Auburn,2,u,560000.0,SP,R&H,2017,4.6,3122.0,2.0,1.0,0.0,0.0,82.3,1960.0,Boroondara,-37.832,145.0431,Southern Metropolitan,11308.0
7955,Hawthorn East,Redfern,3,t,1264000.0,S,hockingstuart,2017,7.5,3123.0,3.0,2.0,2.0,0.0,187.0,2010.0,Boroondara,-37.8302,145.0527,Southern Metropolitan,6482.0
7960,Hawthorn East,Leura,4,h,3600000.0,VB,Jellis,2017,7.5,3123.0,4.0,3.0,2.0,667.0,310.0,1988.0,Boroondara,-37.8374,145.0511,Southern Metropolitan,6482.0
7964,Hawthorn East,Auburn,3,h,1405000.0,S,Kay,2017,7.5,3123.0,3.0,2.0,2.0,185.0,185.0,1985.0,Boroondara,-37.8255,145.0481,Southern Metropolitan,6482.0
7968,Hawthorn East,Auburn,2,u,555000.0,S,Marshall,2017,7.5,3123.0,2.0,1.0,2.0,0.0,64.0,1970.0,Boroondara,-37.8254,145.0474,Southern Metropolitan,6482.0
7973,Heidelberg,Martin,3,h,1271000.0,S,Fletchers,2017,10.6,3084.0,3.0,2.0,2.0,330.0,171.0,2008.0,Banyule,-37.7524,145.06,Eastern Metropolitan,2890.0
7976,Heidelberg Heights,Shelley,2,h,665000.0,S,Jellis,2017,10.5,3081.0,2.0,1.0,1.0,263.0,84.0,1992.0,Banyule,-37.7428,145.0511,Eastern Metropolitan,2947.0
7977,Heidelberg Heights,Porter,3,t,575000.0,S,Noel,2017,10.5,3081.0,3.0,1.0,2.0,192.0,91.0,1995.0,Banyule,-37.7388,145.0581,Eastern Metropolitan,2947.0
7978,Heidelberg Heights,Shelley,4,h,706000.0,SP,Nelson,2017,10.5,3081.0,4.0,1.0,2.0,374.0,113.0,1940.0,Banyule,-37.7437,145.0506,Eastern Metropolitan,2947.0
7984,Heidelberg Heights,Outhwaite,3,h,657000.0,S,Jellis,2017,10.5,3081.0,3.0,1.0,1.0,317.0,95.0,1950.0,Banyule,-37.7397,145.0513,Eastern Metropolitan,2947.0
7985,Heidelberg Heights,Waterdale,3,u,630000.0,SP,Miles,2017,10.5,3081.0,3.0,2.0,1.0,0.0,123.0,2015.0,Banyule,-37.7502,145.0465,Eastern Metropolitan,2947.0
7988,Heidelberg West,Liberty,2,h,650000.0,S,Haughton,2017,9.4,3081.0,2.0,1.0,2.0,465.0,81.0,1960.0,Banyule,-37.7369,145.0371,Eastern Metropolitan,2674.0
7989,Heidelberg West,Mulberry,3,h,855000.0,S,Barry,2017,9.4,3081.0,3.0,1.0,2.0,658.0,99.0,1960.0,Banyule,-37.7445,145.0386,Eastern Metropolitan,2674.0
7990,Heidelberg West,Normanby,2,h,613000.0,S,Barry,2017,9.4,3081.0,2.0,1.0,0.0,391.0,74.0,1960.0,Banyule,-37.7349,145.0398,Eastern Metropolitan,2674.0
7991,Heidelberg West,Liberty,3,h,640000.0,S,hockingstuart,2017,9.4,3081.0,3.0,1.0,2.0,476.0,200.0,1956.0,Banyule,-37.7339,145.0405,Eastern Metropolitan,2674.0
7997,Hughesdale,Neerim,4,t,1340000.0,S,Mandy,2017,13.0,3166.0,4.0,4.0,2.0,370.0,255.79,2006.0,Monash,-37.8919,145.0781,Southern Metropolitan,3145.0
